Time (s),Upload (Bps),Download (Bps)
0,5031,911
1,2366,338
2,123941,3240
3,143835,2724
4,133707,2593
5,102292,2444
6,45427,3162
7,25373,2641
8,23401,2490
9,25009,2524
10,23711,2443
11,22565,2533
12,25177,2590
13,19944,2651
14,27918,2489
15,22294,2496
16,19299,2505
17,27568,2659
18,25218,2620
19,24687,2448
20,24647,2537
21,24002,2542
22,24119,2530
23,24964,2503
24,24132,2447
25,25010,2472
26,24602,2498
27,24206,2585
28,24201,2445
29,104237,2578
30,108873,2538
31,111620,2475
32,100235,2504
33,96374,2419
34,87080,2670
35,79245,2543
36,74263,2556
37,62136,2473
38,76710,2435
39,101426,2555
40,96951,2444
41,80926,2467
42,122721,2533
43,198659,2536
44,147867,2519
45,76640,2480
46,80190,2405
47,79810,2615
48,91458,2481
49,117944,2443
50,69725,2478
51,35239,2504
52,55336,2479
53,47357,2444
54,38973,2477
55,73707,2514
56,56056,2409
57,74017,2512
58,72339,2541
59,92665,2529
60,113408,2506
61,112147,2390
62,97128,2505
63,148112,2583
64,32744,2444
65,50698,2379
66,47606,2537
67,57953,2390
68,116275,2563
69,160363,2446
70,147395,2594
71,196236,2534
72,193484,2477
73,195860,2451
74,143825,2478
75,131689,2476
76,106309,2410
77,66860,2440
78,44432,2470
79,29923,2509
80,57803,2420
81,65222,2616
82,38478,2480
83,44167,2466
84,60791,2595
85,55017,2472
86,40355,2409
87,42131,2541
88,38224,2535
89,58018,2503
90,74362,2589
91,52582,2657
92,39298,2549
93,35498,2676
94,60949,2649
95,57052,2519
96,81879,2671
97,47311,2740
98,69698,2703
99,87516,2814
100,90944,2583
101,70851,2581
102,88083,2688
103,65067,2642
104,78744,2650
105,84330,2618
106,102515,2712
107,86471,2744
108,66952,2636
109,74477,2706
110,99485,2635
111,87005,2682
112,128706,2675
113,192633,2660
114,125558,2613
115,120396,2701
116,97971,2683
117,100117,2703
118,57013,2555
119,52093,2839
120,53772,2572
121,102522,2778
122,78982,2538
123,54428,2669
124,52585,2710
125,71923,2620
126,68625,2591
127,79663,2769
128,74267,2611
129,91921,2658
130,82477,2652
131,67607,2615
132,90828,2655
133,90733,2649
134,100955,2751
135,68580,2551
136,106921,2681
137,119515,2707
138,60224,2687
139,55602,2556
140,51899,2717
141,40635,2648
142,31047,2613
143,70162,2765
144,74085,2622
145,93247,2686
146,103695,2629
147,125619,2560
148,70622,2587
149,74542,2774
150,52757,2723
151,38170,2626
152,48398,2712
153,52614,2688
154,71541,2743
155,97472,2621
156,81389,2779
157,95470,2625
158,85703,2771
159,88030,2622
160,48175,2771
161,48400,2628
162,80454,2584
163,104445,2755
164,53715,2611
165,50488,2713
166,51052,2629
167,61209,2753
168,62563,2594
169,80377,2654
170,134888,2719
171,112723,2622
172,76103,2593
173,76643,2708
174,103434,2641
175,122026,2561
176,122575,2708
177,121064,2579
178,134640,2643
179,66063,2746
180,140011,2653
181,156495,2661
182,112849,2629
183,58530,2624
184,29263,2652
185,34008,2592
186,150923,2710
187,125948,2626
188,107830,2662
189,147183,2594
190,133323,2658
191,41420,2742
192,79035,2804
193,60116,2623
194,73543,2769
195,92271,2612
196,59624,2643
197,55130,2645
198,51156,2692
199,57827,2550
200,119044,2557
201,77648,2614
202,94346,2614
203,164240,2647
204,171462,2628
205,167792,2692
206,202285,2620
207,166077,2689
208,78803,2755
209,76148,2673
210,80060,2589
211,88755,2584
212,99124,2615
213,79542,2773
214,48024,2638
215,40408,2662
216,30318,2616
217,48306,2654
218,35976,2683
219,78805,2701
220,114052,2652
221,99803,2646
222,47644,2598
223,102245,2555
224,35188,2597
225,38900,2595
226,84552,2718
227,70104,2623
228,52242,2674
229,61312,2786
230,46127,2490
231,49235,2723
232,37536,2588
233,51496,2645
234,42509,2592
235,99871,2741
236,113930,2535
237,132672,2460
238,153329,2534
239,111202,2614
240,128149,2629
241,133624,2611
242,127937,2649
243,95480,2596
244,58962,2532
245,81762,2693
246,140125,2676
247,109623,2500
248,71036,2748
249,61602,2675
250,61163,2590
251,89310,2651
252,96738,2707
253,79141,2616
254,96884,2586
255,72114,2653
256,68123,2641
257,86097,2529
258,57444,2628
259,63440,2652
260,81874,2598
261,52672,2594
262,59236,2717
263,52503,2656
264,146990,2683
265,147455,2717
266,146964,2679
267,109098,2744
268,83338,2684
269,67334,2708
270,95185,2678
271,100233,2646
272,106182,2644
273,96051,2659
274,93318,2558
275,59583,2658
276,67798,2563
277,73802,2561
278,58183,2566
279,35537,2643
280,36435,2708
281,42270,2636
282,48670,2653
283,43921,2643
284,31710,2558
285,50017,2562
286,92515,2558
287,172104,2658
288,141770,2689
289,90331,2738
290,60569,2558
291,136314,2707
292,104116,2552
293,20398,2691
294,97478,2621
295,76287,2661
296,93768,2648
297,112808,2558
298,99127,2561
299,55608,2693
300,75148,2618
301,140745,2753
302,75206,2689
303,55230,2563
304,99089,2587
305,99996,2631
306,150296,2539
307,164304,2727
308,122315,2695
309,127672,2609
310,116896,2717
311,123073,2624
312,147310,2631
313,100329,2557
314,197225,2598
315,158799,2596
316,58833,2524
317,134323,2659
318,101798,2592
319,98834,2666
320,128930,2532
321,231056,2565
322,118478,2680
323,112138,2548
324,97208,2562
325,115620,2660
326,108897,2473
327,94607,2483
328,80137,2733
329,79743,2519
330,110586,2601
331,51051,2599
332,28822,2649
333,62294,2603
334,55315,2614
335,47153,2552
336,144649,2631
337,195858,2531
338,195406,2592
339,205860,2722
340,167943,2626
341,148031,2626
342,173622,2513
343,184355,2599
344,194416,2650
345,118728,2569
346,161105,2604
347,62033,2520
348,111190,2407
