Index,RTT (μs),CWND (B),Bytes In Flight (B)
0,0,40960,131
1,0,40960,1280
2,0,40960,1717
3,0,40960,1760
4,0,40960,1793
5,1194,40960,76
6,1194,40960,313
7,1223,40960,237
8,1223,40960,435
9,1132,40960,0
10,1132,40960,1366
11,1132,40960,0
12,1132,40960,51
13,1070,40960,0
14,1070,40960,1409
15,3405,40960,0
16,3405,40960,1430
17,3405,40960,0
18,3405,40960,40
19,3405,40960,67
20,3071,40960,0
21,3071,40960,1441
22,2724,40960,0
23,2724,40960,783
24,2724,40960,810
25,2461,40960,0
26,2461,40960,32
27,2461,40960,126
28,2226,40960,0
29,2226,40960,94
30,2853,40960,0
31,2853,40960,32
32,2853,40960,126
33,2611,40960,0
34,2611,40960,94
35,2611,40960,125
36,2611,40960,1566
37,2611,40960,3007
38,2611,40960,4448
39,2611,40960,4567
40,2351,40960,4442
41,2132,40960,1560
42,1948,40960,0
43,1948,40960,94
44,1948,40960,188
45,1758,40960,0
46,1758,40960,31
47,1758,40960,1472
48,1758,40960,2913
49,1758,40960,3700
50,1604,40960,2228
51,1486,40960,0
52,1486,40960,94
53,1486,40960,188
54,1379,40960,0
55,1379,40960,95
56,1379,40960,189
57,1275,40960,0
58,1275,40960,93
59,1275,40960,125
60,1275,40960,1566
61,1275,40960,3007
62,1275,40960,4448
63,1275,40960,4859
64,1275,40960,4883
65,1168,40960,4758
66,1080,40960,1876
67,1010,40960,24
68,1010,40960,120
69,928,40960,0
70,928,40960,95
71,928,40960,191
72,928,40960,304
73,891,40960,113
74,891,40960,145
75,891,40960,1586
76,891,40960,3027
77,891,40960,4468
78,891,40960,4497
79,854,40960,4352
80,834,40960,1470
81,828,40960,0
82,828,40960,98
83,828,40960,194
84,795,40960,0
85,795,40960,32
86,795,40960,1473
87,795,40960,2914
88,795,40960,4242
89,783,40960,2769
90,785,40960,0
91,785,40960,105
92,785,40960,213
93,763,40960,0
94,763,40960,95
95,763,40960,190
96,713,40960,0
97,713,40960,32
98,713,40960,1473
99,713,40960,2914
100,713,40960,4355
101,713,40960,4676
102,781,40960,3203
103,848,40960,321
104,848,40960,416
105,793,40960,0
106,793,40960,94
107,793,40960,126
108,793,40960,1567
109,793,40960,3008
110,793,40960,4355
111,757,40960,4229
112,733,40960,1347
113,733,40960,1441
114,718,40960,0
115,718,40960,95
116,718,40960,192
117,696,40960,0
118,696,40960,95
119,696,40960,190
120,694,40960,0
121,694,40960,33
122,694,40960,1474
123,694,40960,2915
124,694,40960,4356
125,694,40960,4532
126,694,40960,4556
127,711,40960,3082
128,745,40960,200
129,807,40960,0
130,807,40960,95
131,807,40960,190
132,779,40960,0
133,779,40960,33
134,779,40960,1474
135,779,40960,2915
136,779,40960,3423
137,779,40960,3447
138,779,40960,3542
139,748,40960,0
140,748,40960,95
141,693,40960,0
142,693,40960,95
143,693,40960,190
144,644,40960,0
145,644,40960,33
146,644,40960,1474
