Time (s),Upload (Bps),Download (Bps)
0,6467,947
1,1010,616
2,138429,3036
3,147742,2660
4,146051,2695
5,126025,2550
6,86375,2615
7,116308,2591
8,107972,2532
9,106738,2488
10,112745,2444
11,60519,2527
12,63403,2531
13,64409,2657
14,39324,2545
15,104378,2545
16,45618,2467
17,33387,2452
18,24577,2563
19,24151,2607
20,24752,2503
21,24108,2526
22,25139,2559
23,24550,2491
24,24497,2464
25,25137,2617
26,23950,2566
27,24260,2526
28,24755,2622
29,24790,2595
30,26262,2552
31,23838,2538
32,23651,2535
33,24009,2503
34,24091,2446
35,23965,2453
36,24048,2570
37,23880,2528
38,22554,2468
39,24294,2408
40,24046,2419
41,24895,2506
42,26944,2505
43,25722,2469
44,24208,2466
45,23727,2441
46,24452,2480
47,29138,2472
48,79067,2499
49,106059,2558
50,121024,2421
51,42002,2483
52,42256,2389
53,57952,2275
54,38503,2395
55,56183,2482
56,64336,2472
57,64645,2447
58,75175,2468
59,70790,2435
60,99019,2654
61,118546,2409
62,102736,2603
63,123806,2451
64,103150,2582
65,33575,2508
66,52392,2524
67,49331,2416
68,74988,2531
69,148248,2516
70,141960,2429
71,167404,2556
72,199333,2481
73,195556,2413
74,189114,2488
75,130013,2498
76,117457,2394
77,102902,2419
78,53508,2507
79,36012,2470
80,21040,2451
81,22689,2453
82,22958,2451
83,18428,2508
84,23890,2471
85,20600,2445
86,23395,2478
87,19144,2447
88,19178,2490
89,23242,2590
90,24062,2451
91,24090,2445
92,21580,2419
93,22202,2556
94,25063,2463
95,21087,2504
96,31627,2412
97,23088,2552
98,25535,2617
99,23894,2582
100,29525,2732
101,24610,2521
102,25756,2710
103,25955,2638
104,26015,2737
105,23156,2733
106,27210,2705
107,28498,2649
108,23633,2734
109,28841,2649
110,88773,2716
111,102594,2649
112,77989,2642
113,167820,2558
114,180687,2677
115,112582,2708
116,116702,2671
117,101721,2587
118,76067,2668
119,52303,2718
120,54133,2572
121,73108,2771
122,101760,2658
123,61405,2650
124,50801,2776
125,69053,2670
126,73254,2656
127,59217,2678
128,82358,2649
129,87951,2684
130,89722,2761
131,65128,2499
132,76509,2644
133,91575,2707
134,96361,2706
135,92612,2744
136,73991,2835
137,123561,2597
138,99860,2685
139,58157,2564
140,43801,2561
141,51840,2723
142,38313,2614
143,46930,2592
144,57413,2655
145,88394,2653
146,106673,2693
147,107659,2639
148,109767,2596
149,74848,2859
150,65226,2708
151,44596,2561
152,32753,2624
153,51683,2660
154,64800,2589
155,74923,2615
156,95594,2648
157,76082,2685
158,107180,2813
159,79905,2658
160,84673,2585
161,41063,2674
162,61397,2644
163,89060,2618
164,93984,2559
165,45946,2843
166,41477,2607
167,56643,2561
168,61056,2594
169,64817,2706
170,108041,2720
171,132839,2755
172,97446,2589
173,74158,2632
174,81031,2564
175,113336,2833
176,120637,2555
177,122243,2555
178,121365,2588
179,122214,2660
180,81965,2537
181,155723,2681
182,146620,2582
183,92461,2653
184,40231,2680
185,31463,2476
186,58639,2739
187,168310,2714
188,112998,2677
189,105700,2677
190,174197,2655
191,83873,2626
192,39766,2597
193,86587,2620
194,70930,2614
195,72049,2685
196,79050,2647
197,63777,2647
198,59980,2620
199,44398,2650
200,82817,2566
201,115328,2539
202,63577,2589
203,129749,2646
204,160832,2596
205,180180,2568
206,165609,2531
207,213121,2623
208,123865,2646
209,64575,2688
210,75207,2658
211,90186,2624
212,97072,2723
213,95881,2618
214,62986,2678
215,53593,2712
216,29010,2699
217,31923,2495
218,47623,2614
219,42419,2594
220,100327,2523
221,109443,2715
222,23115,2685
223,25295,2632
224,24674,2641
225,18384,2591
226,21026,2692
227,28141,2741
228,23719,2686
229,19975,2682
230,20419,2535
231,20816,2657
232,19586,2686
233,18609,2564
234,21359,2544
235,26724,2595
236,29504,2680
237,25375,2600
238,34086,2590
239,25161,2678
240,28323,2736
241,24715,2599
242,30730,2615
243,23324,2623
244,22856,2707
245,28395,2667
246,24291,2570
247,27232,2624
248,24315,2558
249,24534,2584
250,20291,2719
251,30342,2687
252,95622,2601
253,97461,2624
254,66753,2528
255,95410,2527
256,70955,2666
257,92945,2629
258,60062,2711
259,55167,2739
260,64339,2622
261,82657,2660
262,51988,2615
263,63854,2628
264,77041,2678
265,156418,2569
266,147523,2697
267,146131,2584
268,84017,2636
269,78259,2771
270,81164,2735
271,91655,2630
272,106192,2651
273,108451,2596
274,98399,2558
275,71352,2532
276,66917,2588
277,62374,2633
278,79143,2726
279,49460,2725
280,33116,2599
281,36197,2671
282,48337,2567
283,46323,2791
284,40459,2744
285,36278,2777
286,64938,2757
287,110258,2775
288,168553,2759
289,138360,2956
290,66548,2702
291,75941,2767
292,138641,2800
293,66590,2667
294,58423,2687
295,87733,2730
296,80192,2801
297,98010,2767
298,115679,2701
299,79151,2673
300,61189,2719
301,85524,2502
302,26955,2635
303,22860,2577
304,23021,2673
305,25191,2529
306,25918,2544
307,27524,2576
308,22389,2507
309,24122,2648
310,23282,2476
311,27081,2554
312,23707,2693
313,22970,2534
314,30308,2664
315,25782,2630
316,26935,2569
317,20293,2660
318,32360,2672
319,28145,2564
320,25286,2635
321,25878,2530
322,23372,2603
323,25460,2683
324,24986,2647
325,25666,2595
326,24605,2640
327,23001,2633
328,23127,2679
329,23165,2562
330,20586,2597
331,31121,2662
332,42184,2506
333,28762,2600
334,74073,2682
335,52405,2619
336,48071,2619
337,185053,2634
338,193587,2624
339,197893,2724
340,205621,2468
341,151742,2638
342,154864,2503
343,171134,2691
344,194609,2780
345,191933,2596
346,105408,2598
347,144491,2600
348,51720,2596
349,88411,1581
350,272,38
351,44,0
